Date,GS
20230103,327.6471252441406
20230104,329.0477600097656
20230105,325.3191223144531
20230106,329.4073181152344
20230109,334.0633850097656
20230110,338.18951416015625
20230111,344.9275817871094
20230112,350.09466552734375
20230113,353.9368896484375
20230117,331.148681640625
20230118,330.3631591796875
20230119,331.93414306640625
20230120,323.5020751953125
20230123,330.41046142578125
20230124,329.6439208984375
20230125,330.8742370605469
20230126,335.9277648925781
20230127,334.7258605957031
20230130,338.2841796875
20230131,346.18621826171875
20230201,346.09161376953125
20230202,349.64990234375
20230203,350.1041259765625
20230206,350.9085693359375
20230207,354.3154296875
20230208,354.9779052734375
20230209,348.2492980957031
20230210,351.36273193359375
20230213,353.95574951171875
20230214,351.8359680175781
20230215,354.2586364746094
20230216,350.34075927734375
20230217,348.7319030761719
20230221,341.7478332519531
20230222,341.5301513671875
20230223,344.03802490234375
20230224,344.3313903808594
20230227,345.9212341308594
20230228,332.7857971191406
20230301,330.0027160644531
20230302,332.7381896972656
20230303,340.35369873046875
20230306,340.3155212402344
20230307,329.8597412109375
20230308,332.9192810058594
20230309,326.0567321777344
20230310,312.3126220703125
20230313,300.7225036621094
20230314,307.05126953125
20230315,297.5580749511719
20230316,300.32220458984375
20230317,289.3135070800781
20230320,295.0227355957031
20230321,302.4095153808594
20230322,298.9687194824219
20230323,300.09344482421875
20230324,297.9203186035156
20230327,303.6009521484375
20230328,303.5151672363281
20230329,305.6883239746094
20230330,306.0886535644531
20230331,311.77880859375
20230403,311.2164611816406
20230404,307.5278625488281
20230405,306.4603576660156
20230406,307.2895812988281
20230410,309.7295837402344
20230411,312.026611328125
20230412,314.7621154785156
20230413,316.5635681152344
20230414,321.1289978027344
20230417,323.7597351074219
20230418,318.2601318359375
20230419,321.1004943847656
20230420,322.83514404296875
20230421,325.64691162109375
20230424,327.839111328125
20230425,323.5690612792969
20230426,320.78594970703125
20230427,325.5896911621094
20230428,327.34344482421875
20230501,324.60797119140625
20230502,317.7453918457031
20230503,313.2466735839844
20230504,306.2030029296875
20230505,311.6930236816406
20230508,311.20697021484375
20230509,309.54852294921875
20230510,307.4324951171875
20230511,305.6883239746094
20230512,304.5255126953125
20230515,306.97509765625
20230516,305.7741394042969
20230517,314.7049255371094
20230518,314.13299560546875
20230519,310.86383056640625
20230522,309.69146728515625
20230523,308.40472412109375
20230524,304.8209228515625
20230525,308.70025634765625
20230526,316.4491882324219
20230530,315.324462890625
20230531,311.0699157714844
20230601,303.86700439453125
20230602,310.8298645019531
20230605,309.062744140625
20230606,313.8550720214844
20230607,322.4505615234375
20230608,322.181640625
20230609,322.7098388671875
20230612,326.04241943359375
20230613,328.93316650390625
20230614,325.0147705078125
20230615,326.282470703125
20230616,324.9091796875
20230620,317.61981201171875
20230621,312.1936340332031
20230622,306.9210205078125
20230623,302.2439880371094
20230626,299.9870300292969
20230627,301.03387451171875
20230628,301.2355651855469
20230629,310.2919921875
20230630,309.7638244628906
20230703,313.6725769042969
20230705,307.3724365234375
20230706,300.6016845703125
20230707,302.685791015625
20230710,303.9342346191406
20230711,308.1695556640625
20230712,313.4709167480469
20230713,315.66058349609375
20230714,313.26922607421875
20230717,314.2392578125
20230718,323.91033935546875
20230719,327.0604248046875
20230720,336.9620361328125
20230721,338.0184631347656
20230724,344.71234130859375
20230725,340.64990234375
20230726,343.3966064453125
20230727,340.4674987792969
20230728,339.2381591796875
20230731,341.7735900878906
20230801,343.5502624511719
20230802,337.1925048828125
20230803,339.1708984375
20230804,339.2285461425781
20230807,341.475830078125
20230808,334.46502685546875
20230809,329.11566162109375
20230810,326.9163818359375
20230811,327.2333068847656
20230814,324.3616943359375
20230815,319.0507507324219
20230816,316.0735778808594
20230817,314.5465393066406
20230818,312.0591125488281
20230821,309.3028259277344
20230822,306.1623840332031
20230823,309.5621337890625
20230824,307.2860107421875
20230825,307.4684753417969
20230828,313.0579528808594
20230829,319.3772888183594
20230830,318.19586181640625
20230831,317.35333251953125
20230901,317.05316162109375
20230905,313.51849365234375
20230906,310.9812927246094
20230907,311.7850646972656
20230908,315.2325439453125
20230911,314.3900451660156
20230912,320.4425048828125
20230913,324.39361572265625
20230914,333.6805419921875
20230915,331.7147216796875
20230918,332.47003173828125
20230919,331.08526611328125
20230920,326.05926513671875
20230921,319.8033447265625
20230922,317.5277099609375
20230925,318.4476623535156
20230926,313.5863342285156
20230927,311.775390625
20230928,314.9226989746094
20230929,313.3442077636719
20231002,308.4344177246094
20231003,296.4456481933594
20231004,298.8473205566406
20231005,300.687255859375
20231006,302.6047058105469
20231009,302.73052978515625
20231010,304.8222961425781
20231011,303.1275939941406
20231012,300.0578308105469
20231013,299.5251770019531
20231016,304.4543151855469
20231017,299.5832824707031
20231018,292.4171447753906
20231019,289.73468017578125
20231020,290.5674743652344
20231023,289.7637634277344
20231024,289.7250061035156
20231025,287.3814697265625
20231026,287.60418701171875
20231027,280.7479553222656
20231030,291.3228454589844
20231031,294.0149841308594
20231101,297.45281982421875
20231102,303.8442077636719
20231103,317.2662048339844
20231106,313.6734619140625
20231107,313.7121887207031
20231108,314.30291748046875
20231109,310.6423645019531
20231110,315.2229309082031
20231113,316.5786437988281
20231114,328.01544189453125
20231115,326.9308166503906
20231116,326.0301818847656
20231117,328.4705810546875
20231120,328.72235107421875
20231121,324.3839416503906
20231122,327.9379577636719
20231124,328.4317932128906
20231127,327.0373229980469
20231128,326.9792175292969
20231129,332.21246337890625
20231130,333.4621887207031
20231201,340.1892395019531
20231204,341.1265563964844
20231205,333.6672668457031
20231206,333.8820495605469
