Date,CI
20230103,310.6057434082031
20230104,299.80389404296875
20230105,293.90057373046875
20230106,292.441650390625
20230109,292.7895202636719
20230110,293.51409912109375
20230111,298.77008056640625
20230112,299.7265930175781
20230113,303.58160400390625
20230117,304.344970703125
20230118,297.9294738769531
20230119,300.1517333984375
20230120,297.9294738769531
20230123,297.7459716796875
20230124,298.5382080078125
20230125,302.98260498046875
20230126,302.6058044433594
20230127,297.87152099609375
20230130,299.8618469238281
20230131,305.95843505859375
20230201,302.68310546875
20230202,291.33056640625
20230203,282.69293212890625
20230206,278.6833190917969
20230207,279.2243347167969
20230208,280.3838195800781
20230209,281.64947509765625
20230210,286.4803466796875
20230213,288.46099853515625
20230214,289.23394775390625
20230215,288.4803161621094
20230216,289.3015441894531
20230217,290.8764343261719
20230221,284.0359191894531
20230222,284.94415283203125
20230223,284.6832275390625
20230224,283.79437255859375
20230227,286.33538818359375
20230228,282.2195129394531
20230301,278.98284912109375
20230302,277.8620300292969
20230303,277.2630310058594
20230306,278.7123107910156
20230307,273.3561706542969
20230308,271.0274658203125
20230309,263.8568420410156
20230310,267.4566650390625
20230313,264.94354248046875
20230314,264.0509033203125
20230315,262.3334045410156
20230316,266.2825927734375
20230317,261.4504699707031
20230320,264.7980041503906
20230321,268.4075927734375
20230322,262.4111022949219
20230323,248.96255493164062
20230324,252.4847869873047
20230327,254.00819396972656
20230328,248.88494873046875
20230329,246.48826599121094
20230330,246.5464630126953
20230331,247.9437255859375
20230403,254.2216339111328
20230404,248.92376708984375
20230405,257.9864501953125
20230406,257.41400146484375
20230410,255.2889862060547
20230411,258.56866455078125
20230412,253.0281524658203
20230413,255.9779052734375
20230414,251.4077606201172
20230417,250.9905242919922
20230418,251.98025512695312
20230419,248.49681091308594
20230420,248.18629455566406
20230421,244.63497924804688
20230424,248.49681091308594
20230425,246.17774963378906
20230426,240.80221557617188
20230427,242.89810180664062
20230428,245.7702178955078
20230501,247.3323974609375
20230502,242.9854278564453
20230503,238.6966552734375
20230504,236.4552459716797
20230505,252.99903869628906
20230508,256.8318176269531
20230509,254.98817443847656
20230510,255.62863159179688
20230511,252.28103637695312
20230512,248.95286560058594
20230515,250.3404083251953
20230516,247.89520263671875
20230517,255.40541076660156
20230518,248.87522888183594
20230519,247.55560302734375
20230522,247.93402099609375
20230523,244.44088745117188
20230524,242.3450164794922
20230525,239.7349090576172
20230526,236.8530731201172
20230530,235.43641662597656
20230531,240.06478881835938
20230601,245.86727905273438
20230602,249.39918518066406
20230605,254.93963623046875
20230606,256.58721923828125
20230607,255.21261596679688
20230608,257.8642883300781
20230609,259.1998596191406
20230612,260.281982421875
20230613,265.40985107421875
20230614,257.1428527832031
20230615,262.71917724609375
20230616,262.0757141113281
20230620,263.2651062011719
20230621,266.9501037597656
20230622,268.41241455078125
20230623,267.9444885253906
20230626,269.46533203125
20230627,268.87060546875
20230628,267.83721923828125
20230629,270.2842102050781
20230630,273.5500793457031
20230703,273.2868347167969
20230705,273.6962585449219
20230706,271.9902648925781
20230707,270.1574401855469
20230710,271.3468017578125
20230711,274.6614074707031
20230712,261.93927001953125
20230713,263.2748718261719
20230714,275.65582275390625
20230717,274.0959777832031
20230718,277.6640319824219
20230719,285.30706787109375
20230720,286.82781982421875
20230721,286.3891296386719
20230724,284.72210693359375
20230725,287.2860107421875
20230726,283.3865661621094
20230727,285.3948059082031
20230728,284.7611083984375
20230731,287.68572998046875
20230801,288.2121887207031
20230802,291.8776550292969
20230803,280.4131774902344
20230804,279.3797912597656
20230807,284.4881591796875
20230808,284.80987548828125
20230809,281.0858154296875
20230810,281.6512145996094
20230811,282.2361755371094
20230814,282.5578918457031
20230815,282.021728515625
20230816,281.6999816894531
20230817,263.7330322265625
20230818,269.0753173828125
20230821,274.1934814453125
20230822,273.0333251953125
20230823,274.7491149902344
20230824,275.28533935546875
20230825,272.2144470214844
20230828,274.4761962890625
20230829,274.56390380859375
20230830,275.5680236816406
20230831,269.319091796875
20230901,269.71881103515625
20230905,272.9599914550781
20230906,269.90484619140625
20230907,275.447265625
20230908,275.6333312988281
20230911,278.9039611816406
20230912,280.57843017578125
20230913,279.28582763671875
20230914,277.4253234863281
20230915,277.3371887207031
20230918,279.41314697265625
20230919,278.7276916503906
20230920,281.36181640625
20230921,284.79888916015625
20230922,283.4279479980469
20230925,288.2261962890625
20230926,282.4781494140625
20230927,282.6152038574219
20230928,284.2896728515625
20230929,280.12799072265625
20231002,281.56744384765625
20231003,278.50250244140625
20231004,279.1585388183594
20231005,279.42291259765625
20231006,282.2431335449219
20231009,283.6531982421875
20231010,285.6998291015625
20231011,288.3339538574219
20231012,289.6558532714844
20231013,298.7529296875
20231016,305.6466979980469
20231017,304.1484375
20231018,305.4606628417969
20231019,303.7274169921875
20231020,300.4078063964844
20231023,294.79681396484375
20231024,298.312255859375
20231025,297.5777893066406
20231026,297.9009704589844
20231027,296.9413146972656
20231030,298.88018798828125
20231031,302.77752685546875
20231101,302.983154296875
20231102,312.26629638671875
20231103,304.19744873046875
20231106,300.466552734375
20231107,288.90185546875
20231108,289.2152099609375
20231109,282.9089660644531
20231110,287.11962890625
20231113,288.01080322265625
20231114,284.0546875
20231115,277.1021728515625
20231116,276.37750244140625
20231117,276.6908874511719
20231120,278.3947448730469
20231121,280.5392761230469
20231122,282.3214416503906
20231124,281.8710021972656
20231127,280.31402587890625
20231128,280.13775634765625
20231129,257.40985107421875
20231130,257.4196472167969
20231201,263.4320983886719
20231204,257.44903564453125
20231205,253.61212158203125
20231206,253.32676696777344
20231207,253.76953125
20231208,254.61558532714844
20231211,297.0876159667969
20231212,291.91265869140625
20231213,292.37506103515625
20231214,293.8115234375
20231215,285.8031005859375
20231218,287.34771728515625
20231219,289.5613098144531
20231220,291.06658935546875
20231221,292.4340515136719
20231222,293.2703552246094
20231226,295.26751708984375
20231227,294.3033752441406
20231228,294.5591735839844
20231229,294.6083984375
20240102,305.086181640625
20240103,298.75030517578125
20240104,301.2688903808594
20240105,308.5197448730469
20240108,308.55908203125
20240109,307.81134033203125
20240110,302.7446594238281
20240111,302.4200134277344
20240112,300.0784912109375
20240116,301.977294921875
20240117,303.4924011230469
20240118,304.0826416015625
20240119,297.1761779785156
20240122,300.0981140136719
20240123,299.47833251953125
20240124,299.57672119140625
20240125,293.7425842285156
20240126,293.0047302246094
20240129,294.047607421875
20240130,294.116455078125
20240131,296.0841064453125
20240201,302.35113525390625
20240202,318.60400390625
20240205,316.0755615234375
20240206,322.28350830078125
20240207,325.20550537109375
20240208,326.9173889160156
20240209,329.5146789550781
20240212,331.7972412109375
20240213,331.9644470214844
20240214,333.1351623535156
20240215,333.7156982421875
20240216,335.57513427734375
20240220,335.83087158203125
20240221,337.8280944824219
20240222,336.6278381347656
20240223,338.6741638183594
20240226,336.775390625
20240227,335.2307434082031
20240228,329.71148681640625
20240229,330.7051696777344
20240301,327.5765380859375
20240304,331.3544616699219
20240305,328.7166748046875
20240306,335.7211608886719
20240307,338.6059265136719
20240308,337.66741943359375
20240311,338.1416015625
20240312,339.79144287109375
20240313,344.5137939453125
20240314,345.2942810058594
20240315,347.8036193847656
20240318,348.37664794921875
20240319,348.11981201171875
20240320,349.5621643066406
20240321,349.4535217285156
20240322,347.536865234375
20240325,351.26141357421875
20240326,353.4151611328125
20240327,358.95745849609375
20240328,358.80926513671875
20240401,359.6885070800781
20240402,358.7104797363281
20240403,356.71484375
20240404,356.0233154296875
20240405,358.0782470703125
20240408,353.662109375
20240409,353.1681823730469
20240410,353.5238037109375
20240411,348.8211975097656
20240412,345.62030029296875
20240415,344.6916198730469
20240416,342.6663818359375
20240417,341.9056396484375
20240418,344.57305908203125
20240419,348.1395568847656
20240422,348.9200134277344
20240423,348.3963928222656
20240424,348.0308837890625
20240425,350.2339782714844
20240426,350.1944580078125
20240429,352.14068603515625
20240430,352.73345947265625
20240501,352.87176513671875
20240502,340.3447265625
20240503,337.3808898925781
20240506,338.2799377441406
20240507,342.5181579589844
20240508,343.16033935546875
20240509,346.7366638183594
20240510,344.18780517578125
20240513,344.9287414550781
20240514,342.2415771484375
20240515,339.1394348144531
20240516,335.16790771484375
20240517,334.6245422363281
20240520,329.34893798828125
20240521,332.3226623535156
20240522,332.4115905761719
20240523,333.755126953125
20240524,328.59808349609375
20240528,329.19085693359375
20240529,328.9044189453125
20240530,327.007568359375
20240531,340.4632568359375
20240603,337.37103271484375
20240604,334.365234375
20240605,331.50823974609375
20240606,335.20843505859375
20240607,335.39691162109375
20240610,335.9425354003906
20240611,335.2381896972656
20240612,333.36328125
20240613,331.4784851074219
20240614,330.6253662109375
20240617,331.2304992675781
20240618,332.123291015625
20240620,335.1786804199219
20240621,337.26190185546875
20240624,340.3966369628906
20240625,336.09130859375
20240626,334.88104248046875
20240627,331.4784851074219
20240628,327.9271240234375
20240701,323.6614990234375
20240702,323.30438232421875
20240703,322.8282165527344
20240705,316.56866455078125
20240708,321.19140625
20240709,325.74468994140625
20240710,327.27239990234375
20240711,330.8932189941406
20240712,332.1134033203125
20240715,328.77032470703125
20240716,336.9940490722656
20240717,342.0036926269531
20240718,337.7975769042969
20240719,333.1549987792969
20240722,333.10540771484375
20240723,333.48236083984375
20240724,339.47406005859375
20240725,338.4225158691406
20240726,340.89263916015625
20240729,343.7694396972656
20240730,349.94964599609375
20240731,345.8824157714844
20240801,329.94091796875
20240802,334.6330871582031
20240805,323.10595703125
20240806,326.6573486328125
20240807,326.37957763671875
20240808,332.3415222167969
20240809,333.4526062011719
20240812,325.47686767578125
20240813,330.0599365234375
20240814,332.2225036621094
20240815,334.00811767578125
20240816,339.58319091796875
20240819,339.5931091308594
20240820,339.8609619140625
20240821,339.66253662109375
20240822,343.70001220703125
20240823,351.1598815917969
20240826,351.1102600097656
20240827,351.0606994628906
20240828,355.0683898925781
20240829,358.17333984375
20240830,358.9173583984375
20240903,362.55804443359375
20240904,365.1073303222656
20240905,353.6354675292969
20240906,352.01226806640625
20240909,356.11505126953125
20240910,356.60302734375
20240911,356.2843322753906
20240912,360.656005859375
20240913,363.1953430175781
20240916,365.3164367675781
20240917,354.7408447265625
20240918,353.90435791015625
20240919,355.76654052734375
20240920,354.6512145996094
20240923,353.4562072753906
20240924,351.6936340332031
20240925,347.401611328125
20240926,343.54779052734375
20240927,346.2464904785156
20240930,344.99176025390625
20241001,346.6348571777344
20241002,339.28570556640625
20241003,339.1363220214844
20241004,340.2715759277344
20241007,338.8475341796875
20241008,342.49224853515625
20241009,345.27056884765625
20241010,349.0347900390625
20241011,348.8356018066406
20241014,349.9808349609375
20241015,347.3817138671875
20241016,357.08099365234375
20241017,351.6438293457031
20241018,334.59539794921875
20241021,318.8913269042969
20241022,316.1329040527344
20241023,316.242431640625
20241024,316.9096374511719
20241025,315.52545166015625
20241028,313.603515625
20241029,306.9414978027344
20241030,311.58203125
20241031,313.4939880371094
20241101,315.16693115234375
20241104,311.014404296875
20241105,317.05902099609375
20241106,313.9022521972656
20241107,318.1543884277344
20241108,318.4332275390625
20241111,341.6258850097656
20241112,338.44921875
20241113,330.6519470214844
20241114,322.52606201171875
20241115,320.1759033203125
20241118,321.10205078125
20241119,321.1518249511719
20241120,322.0381164550781
20241121,328.690185546875
20241122,327.07696533203125
20241125,331.6178894042969
20241126,333.5995788574219
20241127,335.0932922363281
20241129,336.3878479003906
20241202,335.6509704589844
20241203,333.5
20241204,330.1199951171875
20241205,322.6099853515625
20241206,317.80999755859375
