Date,BAC
20230103,31.69165802001953
20230104,32.287471771240234
20230105,32.221275329589844
20230106,32.54281997680664
20230109,32.05104446411133
20230110,32.26856231689453
20230111,32.51445388793945
20230112,32.599571228027344
20230113,33.318328857421875
20230117,32.646854400634766
20230118,31.890270233154297
20230119,31.426851272583008
20230120,32.013214111328125
20230123,32.45771026611328
20230124,32.69413757324219
20230125,32.97785568237305
20230126,33.422359466552734
20230127,33.526390075683594
20230130,33.38452911376953
20230131,33.55476379394531
20230201,33.97088623046875
20230202,34.169490814208984
20230203,34.453216552734375
20230206,34.39646530151367
20230207,34.77476501464844
20230208,34.519412994384766
20230209,33.781742095947266
20230210,33.64933776855469
20230213,33.71554183959961
20230214,33.687164306640625
20230215,33.63042449951172
20230216,33.3656120300293
20230217,33.43181228637695
20230221,32.646854400634766
20230222,32.4293327331543
20230223,32.40095520019531
20230224,32.353675842285156
20230227,32.353675842285156
20230228,32.43879318237305
20230301,32.287471771240234
20230302,31.878164291381836
20230303,32.51591873168945
20230306,32.44928741455078
20230307,31.4117488861084
20230308,30.992929458618164
20230309,29.070146560668945
20230310,28.813142776489258
20230313,27.137847900390625
20230314,27.37582015991211
20230315,27.118812561035156
20230316,27.575708389282227
20230317,26.48105812072754
20230320,26.414426803588867
20230321,27.213998794555664
20230322,26.309720993041992
20230323,25.671968460083008
20230324,25.833784103393555
20230327,27.118812561035156
20230328,26.766616821289062
20230329,27.290145874023438
20230330,26.937955856323242
20230331,27.22351837158203
20230403,27.213998794555664
20230404,26.633358001708984
20230405,26.309720993041992
20230406,26.500093460083008
20230410,26.59528160095215
20230411,27.328222274780273
20230412,27.10929298400879
20230413,27.18543815612793
20230414,28.099239349365234
20230417,28.9083309173584
20230418,29.089181900024414
20230419,28.613248825073242
20230420,28.460948944091797
20230421,28.432395935058594
20230424,28.32769012451172
20230425,27.45196533203125
20230426,27.071216583251953
20230427,27.49955940246582
20230428,27.870790481567383
20230501,27.64234161376953
20230502,26.804698944091797
20230503,26.519134521484375
20230504,25.69100570678711
