Date,PYPL
20230103,74.58000183105469
20230104,77.69000244140625
20230105,76.2699966430664
20230106,76.4800033569336
20230109,77.08000183105469
20230110,77.91999816894531
20230111,78.54000091552734
20230112,79.77999877929688
20230113,79.4800033569336
20230117,80.18000030517578
20230118,77.30999755859375
20230119,76.75
20230120,79.08999633789062
20230123,79.5
20230124,79.58000183105469
20230125,79.0999984741211
20230126,80.80999755859375
20230127,81.83000183105469
20230130,79.63999938964844
20230131,81.48999786376953
20230201,82.91000366210938
20230202,86.95999908447266
20230203,85.5199966430664
20230206,82.33000183105469
20230207,83.2300033569336
20230208,79.72000122070312
20230209,78.41999816894531
20230210,80.80000305175781
20230213,79.44999694824219
20230214,77.26000213623047
20230215,77.91000366210938
20230216,76.7300033569336
20230217,74.66000366210938
20230221,75.23999786376953
20230222,75.4800033569336
20230223,75.19000244140625
20230224,73.55000305175781
20230227,73.7699966430664
20230228,73.5999984741211
20230301,73.81999969482422
20230302,74.0999984741211
20230303,76.29000091552734
20230306,76.77999877929688
20230307,74.91000366210938
20230308,75.83999633789062
20230309,75.93000030517578
20230310,73.43000030517578
20230313,72.61000061035156
20230314,73.23999786376953
20230315,73.91000366210938
20230316,74.3499984741211
20230317,72.98999786376953
20230320,73.20999908447266
20230321,76.72000122070312
20230322,74.33999633789062
20230323,72.55999755859375
20230324,73.87999725341797
20230327,73.30000305175781
20230328,72.69999694824219
20230329,74.18000030517578
20230330,74.38999938964844
20230331,75.94000244140625
20230403,75.29000091552734
20230404,75.26000213623047
20230405,73.61000061035156
20230406,74.95999908447266
20230410,74.5199966430664
20230411,73.58000183105469
20230412,73.5
20230413,75.5199966430664
20230414,76.52999877929688
20230417,77.33000183105469
20230418,76.41999816894531
20230419,75.31999969482422
20230420,73.58000183105469
20230421,74.18000030517578
20230424,74.29000091552734
20230425,71.77999877929688
20230426,72.05999755859375
20230427,74.2699966430664
20230428,76.0
20230501,75.11000061035156
20230502,72.27999877929688
20230503,71.43000030517578
20230504,71.80999755859375
20230505,74.97000122070312
20230508,75.5199966430664
20230509,65.90499877929688
20230510,63.380001068115234
20230511,64.18000030517578
20230512,61.689998626708984
20230515,62.25
20230516,60.79999923706055
20230517,61.459999084472656
20230518,61.27000045776367
20230519,60.91999816894531
20230522,63.029998779296875
20230523,62.0
20230524,61.79999923706055
20230525,59.369998931884766
20230526,60.220001220703125
20230530,62.04999923706055
20230531,61.9900016784668
20230601,63.04999923706055
20230602,63.959999084472656
20230605,64.51000213623047
20230606,65.0199966430664
20230607,64.04000091552734
20230608,64.23999786376953
20230609,63.4900016784668
20230612,63.72999954223633
20230613,63.560001373291016
20230614,63.599998474121094
20230615,65.8499984741211
20230616,66.43000030517578
20230620,68.88999938964844
20230621,68.19000244140625
20230622,68.56999969482422
20230623,66.94000244140625
20230626,66.44000244140625
20230627,66.2300033569336
20230628,66.02999877929688
20230629,65.86000061035156
20230630,66.7300033569336
20230703,68.0999984741211
20230705,68.8499984741211
20230706,66.13999938964844
20230707,66.79000091552734
20230710,69.27999877929688
20230711,70.62000274658203
20230712,70.58999633789062
20230713,72.38999938964844
20230714,72.0999984741211
20230717,73.48999786376953
20230718,74.37000274658203
20230719,74.22000122070312
20230720,73.0199966430664
20230721,72.98999786376953
20230724,73.69000244140625
20230725,72.95999908447266
20230726,73.43000030517578
20230727,72.02999877929688
20230728,73.9800033569336
20230731,75.81999969482422
20230801,75.52999877929688
20230802,73.19999694824219
20230803,64.18000030517578
20230804,62.75
20230807,64.41999816894531
20230808,63.189998626708984
20230809,62.02000045776367
20230810,62.790000915527344
20230811,61.540000915527344
20230814,63.27000045776367
20230815,59.470001220703125
20230816,59.68000030517578
20230817,58.599998474121094
20230818,59.41999816894531
20230821,59.5099983215332
20230822,60.97999954223633
20230823,61.7599983215332
20230824,60.709999084472656
20230825,61.189998626708984
20230828,61.66999816894531
20230829,62.5
20230830,63.41999816894531
20230831,62.5099983215332
20230901,63.56999969482422
20230905,63.7400016784668
20230906,62.79999923706055
20230907,61.650001525878906
20230908,60.97999954223633
20230911,61.93000030517578
20230912,62.810001373291016
20230913,62.84000015258789
20230914,64.44000244140625
20230915,64.20999908447266
20230918,62.939998626708984
20230919,62.189998626708984
20230920,60.86000061035156
20230921,58.619998931884766
20230922,57.880001068115234
20230925,58.86000061035156
20230926,58.93000030517578
20230927,57.34000015258789
20230928,58.18000030517578
20230929,58.459999084472656
20231002,58.560001373291016
20231003,57.29999923706055
20231004,58.56999969482422
20231005,57.47999954223633
20231006,57.77000045776367
20231009,57.959999084472656
20231010,57.720001220703125
20231011,58.06999969482422
20231012,56.35499954223633
20231013,55.75
20231016,57.0
20231017,57.15999984741211
20231018,55.79999923706055
20231019,54.810001373291016
20231020,53.38999938964844
20231023,53.45000076293945
20231024,54.2400016784668
20231025,51.4900016784668
20231026,51.75
20231027,50.38999938964844
20231030,51.04999923706055
20231031,51.79999923706055
20231101,51.65999984741211
20231102,55.060001373291016
20231103,56.099998474121094
20231106,54.619998931884766
20231107,54.630001068115234
20231108,55.08000183105469
20231109,54.279998779296875
20231110,54.77000045776367
20231113,54.38999938964844
20231114,56.68000030517578
20231115,58.25
20231116,56.81999969482422
20231117,56.540000915527344
20231120,56.9900016784668
20231121,55.400001525878906
20231122,56.34000015258789
20231124,55.7599983215332
20231127,56.38999938964844
20231128,58.470001220703125
20231129,57.970001220703125
20231130,57.61000061035156
20231201,59.650001525878906
20231204,59.849998474121094
20231205,57.91999816894531
20231206,59.529998779296875
20231207,58.47999954223633
20231208,58.939998626708984
20231211,59.040000915527344
20231212,58.88999938964844
20231213,61.72999954223633
20231214,61.869998931884766
20231215,61.2599983215332
20231218,61.470001220703125
20231219,63.0099983215332
20231220,61.7400016784668
20231221,62.060001373291016
20231222,61.84000015258789
20231226,62.560001373291016
20231227,62.68000030517578
20231228,63.08000183105469
20231229,61.40999984741211
20240102,61.459999084472656
20240103,58.630001068115234
20240104,58.45000076293945
20240105,60.119998931884766
20240108,61.7400016784668
20240109,61.04999923706055
20240110,60.959999084472656
20240111,61.349998474121094
20240112,61.0
20240116,58.45000076293945
20240117,59.88999938964844
20240118,62.09000015258789
20240119,65.81999969482422
20240122,63.7400016784668
20240123,64.77999877929688
20240124,63.02000045776367
20240125,60.709999084472656
20240126,61.779998779296875
20240129,63.7599983215332
20240130,63.68000030517578
