Date,BA
20230103,195.38999938964844
20230104,203.63999938964844
20230105,204.99000549316406
20230106,213.0
20230109,208.57000732421875
20230110,206.69000244140625
20230111,208.02999877929688
20230112,214.32000732421875
20230113,214.1300048828125
20230117,211.41000366210938
20230118,209.41000366210938
20230119,207.08999633789062
20230120,206.75999450683594
20230123,209.97000122070312
20230124,211.97999572753906
20230125,212.67999267578125
20230126,212.72999572753906
20230127,211.1699981689453
20230130,209.6699981689453
20230131,213.0
20230201,214.75
20230202,209.33999633789062
20230203,206.00999450683594
20230206,206.80999755859375
20230207,214.75999450683594
20230208,213.5
20230209,211.99000549316406
20230210,212.88999938964844
20230213,215.64999389648438
20230214,218.4499969482422
20230215,217.44000244140625
20230216,212.2100067138672
20230217,211.66000366210938
20230221,205.52000427246094
20230222,205.75999450683594
20230223,208.1300048828125
20230224,198.14999389648438
20230227,200.4600067138672
20230228,201.5500030517578
20230301,204.5500030517578
20230302,210.05999755859375
20230303,215.11000061035156
20230306,211.9199981689453
20230307,207.9199981689453
20230308,207.1999969482422
20230309,201.24000549316406
20230310,203.07000732421875
20230313,203.3699951171875
20230314,207.27999877929688
20230315,198.2100067138672
20230316,203.19000244140625
20230317,201.0500030517578
20230320,204.77000427246094
20230321,204.6999969482422
20230322,196.16000366210938
20230323,197.89999389648438
20230324,197.52999877929688
20230327,200.57000732421875
20230328,204.9600067138672
20230329,207.97000122070312
20230330,211.0399932861328
20230331,212.42999267578125
20230403,215.38999938964844
20230404,213.89999389648438
20230405,210.0
20230406,211.3699951171875
20230410,210.77999877929688
20230411,212.32000732421875
20230412,212.33999633789062
20230413,213.58999633789062
20230414,201.7100067138672
20230417,205.02999877929688
20230418,208.3699951171875
20230419,208.7100067138672
20230420,207.22999572753906
20230421,205.14999389648438
20230424,205.77000427246094
20230425,202.19000244140625
20230426,203.02999877929688
20230427,206.0399932861328
20230428,206.77999877929688
20230501,203.8699951171875
20230502,203.25
20230503,200.92999267578125
20230504,197.0500030517578
20230505,198.33999633789062
20230508,197.25999450683594
20230509,201.8800048828125
20230510,200.83999633789062
20230511,201.83999633789062
20230512,200.6999969482422
20230515,202.77000427246094
20230516,200.8699951171875
20230517,206.8699951171875
20230518,207.24000549316406
20230519,205.49000549316406
20230522,205.91000366210938
20230523,202.60000610351562
20230524,199.27000427246094
20230525,200.8699951171875
20230526,203.6300048828125
20230530,204.69000244140625
20230531,205.6999969482422
20230601,207.9600067138672
20230602,213.32000732421875
20230605,208.77999877929688
20230606,207.2899932861328
20230607,211.92999267578125
20230608,218.11000061035156
20230609,217.30999755859375
20230612,221.55999755859375
20230613,220.3800048828125
20230614,216.89999389648438
20230615,219.41000366210938
20230616,219.99000549316406
20230620,212.3699951171875
20230621,212.0800018310547
20230622,205.61000061035156
20230623,205.41000366210938
20230626,205.5800018310547
20230627,209.42999267578125
20230628,210.72000122070312
20230629,211.8300018310547
20230630,211.16000366210938
20230703,210.9199981689453
20230705,213.30999755859375
20230706,212.6199951171875
20230707,212.10000610351562
20230710,213.30999755859375
20230711,218.75999450683594
20230712,217.11000061035156
20230713,216.85000610351562
20230714,213.1199951171875
20230717,211.8699951171875
20230718,211.57000732421875
20230719,208.60000610351562
20230720,213.61000061035156
20230721,211.8000030517578
20230724,215.8699951171875
20230725,214.1199951171875
20230726,232.8000030517578
20230727,233.75
20230728,238.69000244140625
20230731,238.85000610351562
20230801,238.00999450683594
20230802,231.3800048828125
20230803,231.36000061035156
20230804,231.36000061035156
20230807,238.25
20230808,238.0399932861328
20230809,237.86000061035156
20230810,238.25999450683594
20230811,235.72000122070312
20230814,236.7100067138672
20230815,232.25999450683594
20230816,229.9499969482422
20230817,224.5399932861328
20230818,226.64999389648438
20230821,227.22000122070312
20230822,230.07000732421875
20230823,228.5800018310547
20230824,217.30999755859375
20230825,223.41000366210938
20230828,227.05999755859375
20230829,227.25
20230830,228.85000610351562
20230831,224.02999877929688
20230901,223.39999389648438
20230905,222.57000732421875
20230906,217.9499969482422
20230907,216.0500030517578
20230908,211.27000427246094
20230911,211.00999450683594
20230912,210.64999389648438
20230913,208.39999389648438
20230914,209.0500030517578
20230915,208.11000061035156
20230918,205.1199951171875
20230919,204.47999572753906
20230920,202.3699951171875
20230921,199.9499969482422
20230922,197.7100067138672
20230925,198.77999877929688
20230926,195.63999938964844
20230927,195.4600067138672
20230928,190.42999267578125
20230929,191.67999267578125
20231002,187.8300018310547
20231003,188.9199981689453
20231004,186.72999572753906
20231005,186.2899932861328
20231006,187.3800048828125
20231009,188.49000549316406
20231010,193.52999877929688
20231011,196.07000732421875
20231012,191.3000030517578
20231013,184.91000366210938
20231016,184.92999267578125
20231017,185.60000610351562
20231018,185.69000244140625
20231019,182.7899932861328
20231020,180.0399932861328
20231023,181.02999877929688
20231024,182.36000061035156
20231025,177.72999572753906
20231026,179.08999633789062
20231027,179.69000244140625
20231030,182.35000610351562
20231031,186.82000732421875
20231101,189.3800048828125
20231102,192.00999450683594
20231103,195.0500030517578
20231106,192.9499969482422
20231107,191.41000366210938
20231108,191.8300018310547
20231109,193.3300018310547
20231110,196.64999389648438
20231113,204.5399932861328
20231114,207.47000122070312
20231115,208.7100067138672
20231116,206.60000610351562
20231117,208.0399932861328
20231120,217.7100067138672
20231121,218.27000427246094
20231122,219.91000366210938
20231124,220.0
20231127,219.3000030517578
20231128,222.3699951171875
20231129,224.42999267578125
20231130,231.6300048828125
20231201,233.8699951171875
20231204,234.8699951171875
20231205,234.16000366210938
20231206,236.88999938964844
20231207,237.3300018310547
20231208,244.6999969482422
20231211,248.0800018310547
20231212,248.6300048828125
20231213,250.91000366210938
20231214,256.239990234375
20231215,264.2699890136719
20231218,260.4100036621094
20231219,263.510009765625
20231220,260.25
20231221,262.0199890136719
20231222,260.44000244140625
20231226,262.7900085449219
20231227,262.1000061035156
20231228,260.3500061035156
20231229,260.6600036621094
20240102,251.75999450683594
20240103,243.91000366210938
20240104,244.94000244140625
20240105,249.0
20240108,229.0
20240109,225.75999450683594
20240110,227.83999633789062
20240111,222.66000366210938
20240112,217.6999969482422
20240116,200.52000427246094
20240117,203.05999755859375
20240118,211.61000061035156
20240119,215.02000427246094
20240122,214.92999267578125
20240123,211.5
20240124,214.1300048828125
20240125,201.8800048828125
20240126,205.47000122070312
20240129,205.19000244140625
20240130,200.44000244140625
20240131,211.0399932861328
20240201,209.80999755859375
20240202,209.3800048828125
20240205,206.6300048828125
20240206,208.5800018310547
20240207,211.9199981689453
20240208,209.22000122070312
20240209,209.1999969482422
20240212,209.3300018310547
20240213,204.4600067138672
20240214,203.3800048828125
20240215,205.3300018310547
20240216,203.88999938964844
20240220,203.3699951171875
20240221,201.57000732421875
20240222,201.5
20240223,200.8300018310547
20240226,200.5399932861328
20240227,201.39999389648438
20240228,207.0
20240229,203.72000122070312
20240301,200.0
20240304,200.5399932861328
20240305,201.13999938964844
20240306,201.0
20240307,203.02999877929688
20240308,198.49000549316406
20240311,192.49000549316406
20240312,184.24000549316406
20240313,182.35000610351562
20240314,181.14999389648438
