Date,ADBE
20230103,336.9200134277344
20230104,341.4100036621094
20230105,328.44000244140625
20230106,332.75
20230109,341.9800109863281
20230110,338.70001220703125
20230111,342.92999267578125
20230112,344.5400085449219
20230113,344.3800048828125
20230117,344.3800048828125
20230118,341.30999755859375
20230119,342.5299987792969
20230120,356.3800048828125
20230123,364.9800109863281
20230124,361.32000732421875
20230125,358.1700134277344
20230126,365.82000732421875
20230127,370.7099914550781
20230130,363.4200134277344
20230131,370.3399963378906
20230201,383.9200134277344
20230202,392.2300109863281
20230203,379.3299865722656
20230206,375.2300109863281
20230207,383.82000732421875
20230208,378.3599853515625
20230209,375.80999755859375
20230210,370.989990234375
20230213,375.0
20230214,377.8999938964844
20230215,375.94000244140625
20230216,365.1600036621094
20230217,356.8500061035156
20230221,346.70001220703125
20230222,348.7200012207031
20230223,347.0199890136719
20230224,320.5400085449219
20230227,322.32000732421875
20230228,323.95001220703125
20230301,323.3800048828125
20230302,333.5
20230303,344.0400085449219
20230306,347.0199890136719
20230307,344.79998779296875
20230308,345.8399963378906
20230309,338.3699951171875
20230310,329.29998779296875
20230313,324.2699890136719
20230314,333.3299865722656
20230315,333.6099853515625
20230316,353.2900085449219
20230317,358.1400146484375
20230320,362.8800048828125
20230321,374.2200012207031
20230322,361.7099914550781
20230323,369.0
20230324,374.9599914550781
20230327,373.1499938964844
20230328,373.3999938964844
20230329,379.1600036621094
20230330,381.8999938964844
20230331,385.3699951171875
20230403,380.0799865722656
20230404,385.1499938964844
20230405,382.0199890136719
20230406,380.6000061035156
20230410,376.25
20230411,371.1099853515625
20230412,369.8900146484375
20230413,378.79998779296875
20230414,379.3800048828125
20230417,377.9200134277344
20230418,377.54998779296875
20230419,380.1099853515625
20230420,380.260009765625
20230421,377.6700134277344
20230424,377.3399963378906
20230425,369.5899963378906
20230426,363.05999755859375
20230427,371.4200134277344
20230428,377.55999755859375
20230501,374.1499938964844
20230502,368.6600036621094
20230503,345.25
20230504,335.8299865722656
20230505,348.3999938964844
20230508,344.05999755859375
20230509,342.6499938964844
20230510,344.0199890136719
20230511,341.5799865722656
20230512,335.45001220703125
20230515,345.6700134277344
20230516,345.1099853515625
20230517,356.6300048828125
20230518,360.42999267578125
20230519,371.25
20230522,372.04998779296875
20230523,370.4200134277344
20230524,365.760009765625
20230525,392.05999755859375
20230526,415.3900146484375
20230530,417.2099914550781
20230531,417.7900085449219
20230601,426.75
20230602,436.3699951171875
20230605,434.17999267578125
20230606,432.8900146484375
20230607,418.32000732421875
20230608,439.0299987792969
20230609,454.0
20230612,474.6300048828125
20230613,478.989990234375
20230614,479.5299987792969
20230615,490.9100036621094
20230616,495.17999267578125
20230620,485.8599853515625
20230621,477.4800109863281
20230622,477.5799865722656
20230623,484.7200012207031
20230626,479.510009765625
20230627,489.2699890136719
20230628,482.42999267578125
20230629,483.7699890136719
20230630,488.989990234375
20230703,485.2099914550781
20230705,487.260009765625
20230706,481.2900085449219
20230707,485.2699890136719
20230710,496.3500061035156
20230711,504.739990234375
20230712,507.3599853515625
20230713,517.280029296875
20230714,514.8300170898438
20230717,522.0
20230718,532.22998046875
20230719,527.1699829101562
20230720,516.8800048828125
20230721,520.22998046875
20230724,523.8599853515625
20230725,525.3400268554688
20230726,514.5499877929688
20230727,513.969970703125
20230728,528.8699951171875
20230731,546.1699829101562
20230801,549.0999755859375
20230802,530.2999877929688
20230803,523.760009765625
20230804,526.8800048828125
20230807,529.72998046875
20230808,520.5999755859375
20230809,513.780029296875
20230810,515.8300170898438
20230811,508.45001220703125
20230814,522.25
20230815,518.7000122070312
20230816,514.489990234375
20230817,511.6700134277344
20230818,508.1300048828125
20230821,520.469970703125
20230822,519.47998046875
20230823,530.7100219726562
20230824,512.4299926757812
20230825,525.0599975585938
20230828,529.9199829101562
20230829,540.5700073242188
20230830,545.3599853515625
20230831,559.3400268554688
20230901,563.2100219726562
20230905,564.8800048828125
20230906,561.9400024414062
20230907,560.4600219726562
20230908,560.3599853515625
20230911,564.5
20230912,542.2100219726562
20230913,553.5599975585938
20230914,552.1599731445312
20230915,528.8900146484375
20230918,532.4199829101562
20230919,541.6900024414062
20230920,535.780029296875
20230921,513.8800048828125
20230922,512.9000244140625
20230925,511.6000061035156
20230926,506.29998779296875
20230927,502.6000061035156
20230928,504.6700134277344
20230929,509.8999938964844
20231002,521.1300048828125
20231003,507.0299987792969
20231004,518.4199829101562
20231005,516.4400024414062
20231006,526.6799926757812
20231009,529.2899780273438
20231010,532.719970703125
20231011,549.9099731445312
20231012,559.6300048828125
20231013,548.760009765625
20231016,550.739990234375
20231017,560.0900268554688
20231018,557.8699951171875
20231019,555.739990234375
20231020,540.9600219726562
20231023,540.4099731445312
20231024,539.5599975585938
20231025,521.1400146484375
20231026,514.280029296875
20231027,508.1199951171875
20231030,526.9400024414062
20231031,532.0599975585938
20231101,544.5
20231102,558.7100219726562
20231103,563.6599731445312
20231106,565.4500122070312
20231107,585.2000122070312
20231108,585.3099975585938
20231109,577.739990234375
20231110,597.219970703125
20231113,590.3400268554688
20231114,604.3300170898438
20231115,595.3099975585938
20231116,602.0599975585938
20231117,602.6599731445312
20231120,612.7000122070312
20231121,610.989990234375
20231122,619.719970703125
20231124,619.4299926757812
20231127,619.27001953125
20231128,623.3200073242188
20231129,617.3900146484375
20231130,611.010009765625
20231201,612.469970703125
20231204,604.5599975585938
20231205,602.219970703125
20231206,595.7000122070312
20231207,608.780029296875
20231208,610.010009765625
20231211,625.2000122070312
20231212,633.6599731445312
20231213,624.260009765625
20231214,584.6400146484375
20231215,584.6799926757812
20231218,599.1300048828125
20231219,604.6400146484375
20231220,596.0599975585938
20231221,600.1400146484375
20231222,598.75
20231226,598.260009765625
20231227,596.0800170898438
20231228,595.52001953125
20231229,596.5999755859375
20240102,580.0700073242188
20240103,571.7899780273438
20240104,567.0499877929688
20240105,564.5999755859375
20240108,580.5499877929688
20240109,586.2000122070312
20240110,591.030029296875
20240111,597.489990234375
20240112,596.5399780273438
20240116,597.6799926757812
20240117,596.0999755859375
20240118,593.7000122070312
20240119,611.5499877929688
20240122,603.5900268554688
20240123,597.1799926757812
20240124,606.47998046875
20240125,622.5800170898438
20240126,613.9299926757812
20240129,630.22998046875
20240130,627.9600219726562
20240131,617.780029296875
20240201,627.9099731445312
20240202,634.760009765625
20240205,630.5
