Date,TSLA
20230103,108.0999984741211
20230104,113.63999938964844
20230105,110.33999633789062
20230106,113.05999755859375
20230109,119.7699966430664
20230110,118.8499984741211
20230111,123.22000122070312
20230112,123.55999755859375
20230113,122.4000015258789
20230117,131.49000549316406
20230118,128.77999877929688
20230119,127.16999816894531
20230120,133.4199981689453
20230123,143.75
20230124,143.88999938964844
20230125,144.42999267578125
20230126,160.27000427246094
20230127,177.89999389648438
20230130,166.66000366210938
20230131,173.22000122070312
20230201,181.41000366210938
20230202,188.27000427246094
20230203,189.97999572753906
20230206,194.75999450683594
20230207,196.80999755859375
20230208,201.2899932861328
20230209,207.32000732421875
20230210,196.88999938964844
20230213,194.63999938964844
20230214,209.25
20230215,214.24000549316406
20230216,202.0399932861328
20230217,208.30999755859375
20230221,197.3699951171875
20230222,200.86000061035156
20230223,202.07000732421875
20230224,196.8800048828125
20230227,207.6300048828125
20230228,205.7100067138672
20230301,202.77000427246094
20230302,190.89999389648438
20230303,197.7899932861328
20230306,193.80999755859375
20230307,187.7100067138672
20230308,182.0
20230309,172.9199981689453
20230310,173.44000244140625
20230313,174.47999572753906
20230314,183.25999450683594
20230315,180.4499969482422
20230316,184.1300048828125
20230317,180.1300048828125
20230320,183.25
20230321,197.5800018310547
20230322,191.14999389648438
20230323,192.22000122070312
20230324,190.41000366210938
20230327,191.80999755859375
20230328,189.19000244140625
20230329,193.8800048828125
20230330,195.27999877929688
20230331,207.4600067138672
20230403,194.77000427246094
20230404,192.5800018310547
20230405,185.52000427246094
20230406,185.05999755859375
20230410,184.50999450683594
20230411,186.7899932861328
20230412,180.5399932861328
20230413,185.89999389648438
20230414,185.0
20230417,187.0399932861328
20230418,184.30999755859375
20230419,180.58999633789062
20230420,162.99000549316406
20230421,165.0800018310547
20230424,162.5500030517578
20230425,160.6699981689453
20230426,153.75
20230427,160.19000244140625
20230428,164.30999755859375
20230501,161.8300018310547
20230502,160.30999755859375
20230503,160.61000061035156
20230504,161.1999969482422
20230505,170.05999755859375
20230508,171.7899932861328
20230509,169.14999389648438
20230510,168.5399932861328
20230511,172.0800018310547
20230512,167.97999572753906
20230515,166.35000610351562
20230516,166.52000427246094
20230517,173.86000061035156
20230518,176.88999938964844
20230519,180.13999938964844
20230522,188.8699951171875
20230523,185.77000427246094
20230524,182.89999389648438
20230525,184.47000122070312
20230526,193.1699981689453
20230530,201.16000366210938
20230531,203.92999267578125
20230601,207.52000427246094
20230602,213.97000122070312
20230605,217.61000061035156
20230606,221.30999755859375
20230607,224.57000732421875
20230608,234.86000061035156
20230609,244.39999389648438
20230612,249.8300018310547
20230613,258.7099914550781
20230614,256.7900085449219
20230615,255.89999389648438
20230616,260.5400085449219
20230620,274.45001220703125
20230621,259.4599914550781
20230622,264.6099853515625
20230623,256.6000061035156
20230626,241.0500030517578
20230627,250.2100067138672
20230628,256.239990234375
20230629,257.5
20230630,261.7699890136719
20230703,279.82000732421875
20230705,282.4800109863281
20230706,276.5400085449219
20230707,274.42999267578125
20230710,269.6099853515625
20230711,269.7900085449219
20230712,271.989990234375
20230713,277.8999938964844
20230714,281.3800048828125
20230717,290.3800048828125
20230718,293.3399963378906
20230719,291.260009765625
20230720,262.8999938964844
20230721,260.0199890136719
20230724,269.05999755859375
20230725,265.2799987792969
20230726,264.3500061035156
20230727,255.7100067138672
20230728,266.44000244140625
20230731,267.42999267578125
20230801,261.07000732421875
20230802,254.11000061035156
20230803,259.32000732421875
20230804,253.86000061035156
20230807,251.4499969482422
20230808,249.6999969482422
20230809,242.19000244140625
20230810,245.33999633789062
20230811,242.64999389648438
20230814,239.75999450683594
20230815,232.9600067138672
20230816,225.60000610351562
20230817,219.22000122070312
20230818,215.49000549316406
20230821,231.27999877929688
20230822,233.19000244140625
20230823,236.86000061035156
20230824,230.0399932861328
20230825,238.58999633789062
20230828,238.82000732421875
20230829,257.17999267578125
20230830,256.8999938964844
20230831,258.0799865722656
20230901,245.00999450683594
20230905,256.489990234375
20230906,251.9199981689453
20230907,251.49000549316406
20230908,248.5
20230911,273.5799865722656
20230912,267.4800109863281
20230913,271.29998779296875
20230914,276.0400085449219
20230915,274.3900146484375
20230918,265.2799987792969
20230919,266.5
20230920,262.5899963378906
20230921,255.6999969482422
20230922,244.8800048828125
20230925,246.99000549316406
20230926,244.1199951171875
20230927,240.5
20230928,246.3800048828125
20230929,250.22000122070312
20231002,251.60000610351562
20231003,246.52999877929688
20231004,261.1600036621094
20231005,260.04998779296875
20231006,260.5299987792969
20231009,259.6700134277344
20231010,263.6199951171875
20231011,262.989990234375
20231012,258.8699951171875
20231013,251.1199951171875
20231016,253.9199981689453
20231017,254.85000610351562
20231018,242.67999267578125
20231019,220.11000061035156
20231020,211.99000549316406
20231023,212.0800018310547
20231024,216.52000427246094
20231025,212.4199981689453
20231026,205.75999450683594
20231027,207.3000030517578
20231030,197.36000061035156
20231031,200.83999633789062
20231101,205.66000366210938
20231102,218.50999450683594
20231103,219.9600067138672
20231106,219.27000427246094
20231107,222.17999267578125
20231108,222.11000061035156
20231109,209.97999572753906
20231110,214.64999389648438
20231113,223.7100067138672
20231114,237.41000366210938
20231115,242.83999633789062
20231116,233.58999633789062
20231117,234.3000030517578
20231120,235.60000610351562
20231121,241.1999969482422
20231122,234.2100067138672
20231124,235.4499969482422
20231127,236.0800018310547
20231128,246.72000122070312
20231129,244.13999938964844
20231130,240.0800018310547
20231201,238.8300018310547
20231204,235.5800018310547
20231205,238.72000122070312
20231206,239.3699951171875
20231207,242.63999938964844
20231208,243.83999633789062
