Date,AMD
20230103,64.0199966430664
20230104,64.66000366210938
20230105,62.33000183105469
20230106,63.959999084472656
20230109,67.23999786376953
20230110,68.05000305175781
20230111,69.05999755859375
20230112,70.80000305175781
20230113,71.0
20230117,71.58999633789062
20230118,70.52999877929688
20230119,67.70999908447266
20230120,70.06999969482422
20230123,76.52999877929688
20230124,74.69999694824219
20230125,74.91000366210938
20230126,75.16000366210938
20230127,75.4000015258789
20230130,72.44999694824219
20230131,75.1500015258789
20230201,84.63999938964844
20230202,88.30999755859375
20230203,86.08999633789062
20230206,83.68000030517578
20230207,85.91000366210938
20230208,84.69000244140625
20230209,83.20999908447266
20230210,81.4800033569336
20230213,83.12999725341797
20230214,85.94999694824219
20230215,85.18000030517578
20230216,80.08000183105469
20230217,78.5
20230221,76.7699966430664
20230222,76.61000061035156
20230223,79.75
20230224,78.08999633789062
20230227,78.7699966430664
20230228,78.58000183105469
20230301,78.29000091552734
20230302,80.44000244140625
20230303,81.5199966430664
20230306,81.16000366210938
20230307,82.11000061035156
20230308,85.37000274658203
20230309,84.02999877929688
20230310,82.66999816894531
20230313,82.01000213623047
20230314,87.44999694824219
20230315,89.68000030517578
20230316,96.5999984741211
20230317,97.83999633789062
20230320,96.80999755859375
20230321,95.93000030517578
20230322,97.58000183105469
20230323,100.27999877929688
20230324,97.94999694824219
20230327,96.61000061035156
20230328,94.55999755859375
20230329,96.08999633789062
20230330,97.87999725341797
20230331,98.01000213623047
20230403,96.55999755859375
20230404,95.87000274658203
20230405,92.55999755859375
20230406,92.47000122070312
20230410,95.4800033569336
20230411,94.02999877929688
20230412,92.33000183105469
20230413,92.08999633789062
20230414,91.75
20230417,89.87000274658203
20230418,89.77999877929688
20230419,89.94000244140625
20230420,90.11000061035156
20230421,88.43000030517578
20230424,87.56999969482422
20230425,83.80000305175781
20230426,85.94000244140625
20230427,87.44000244140625
20230428,89.37000274658203
20230501,89.69000244140625
20230502,89.91000366210938
20230503,81.62000274658203
20230504,86.61000061035156
20230505,89.83999633789062
20230508,95.04000091552734
20230509,95.05999755859375
20230510,97.0199966430664
20230511,97.0999984741211
20230512,95.26000213623047
20230515,97.4000015258789
20230516,101.4800033569336
20230517,103.75
20230518,107.93000030517578
20230519,105.81999969482422
20230522,108.0
20230523,108.12000274658203
20230524,108.2699966430664
20230525,120.3499984741211
20230526,127.02999877929688
20230530,125.2699966430664
20230531,118.20999908447266
20230601,119.47000122070312
20230602,117.86000061035156
20230605,117.93000030517578
20230606,124.2300033569336
20230607,117.83000183105469
20230608,121.05000305175781
20230609,124.91999816894531
20230612,129.19000244140625
20230613,124.52999877929688
20230614,127.33000183105469
20230615,124.23999786376953
20230616,120.08000183105469
20230620,118.93000030517578
20230621,112.11000061035156
20230622,110.69999694824219
20230623,110.01000213623047
20230626,107.51000213623047
20230627,110.38999938964844
20230628,110.16999816894531
20230629,111.23999786376953
20230630,113.91000366210938
20230703,115.81999969482422
20230705,113.94999694824219
20230706,113.4800033569336
20230707,113.16999816894531
20230710,113.58000183105469
20230711,111.31999969482422
20230712,114.58000183105469
20230713,115.91999816894531
20230714,115.94000244140625
20230717,118.31999969482422
20230718,117.93000030517578
20230719,116.43000030517578
20230720,110.25
20230721,110.94999694824219
20230724,110.61000061035156
20230725,113.0
20230726,110.08999633789062
20230727,111.0999984741211
20230728,112.95999908447266
20230731,114.4000015258789
20230801,117.5999984741211
20230802,109.3499984741211
20230803,113.1500015258789
20230804,115.81999969482422
20230807,116.80999755859375
20230808,113.2300033569336
20230809,110.47000122070312
20230810,110.2300033569336
20230811,107.56999969482422
20230814,111.9800033569336
20230815,111.3499984741211
20230816,107.19000244140625
20230817,104.44000244140625
