Date,INTC
20230103,25.775146484375
20230104,26.69120979309082
20230105,26.57549476623535
20230106,27.703699111938477
20230109,28.262981414794922
20230110,28.388338088989258
20230111,28.783689498901367
20230112,29.207975387573242
20230113,29.034406661987305
20230117,28.54262351989746
20230118,27.780841827392578
20230119,27.40477752685547
20230120,28.176198959350586
20230123,29.188690185546875
20230124,28.8511905670166
20230125,28.63905143737793
20230126,29.015119552612305
20230127,27.15406036376953
20230130,26.951566696166992
20230131,27.250490188598633
20230201,28.031557083129883
20230202,29.111543655395508
20230203,29.236900329589844
20230206,28.002229690551758
20230207,28.353593826293945
20230208,27.56301498413086
20230209,27.06523895263672
20230210,27.133562088012695
20230213,27.865581512451172
20230214,27.95342254638672
20230215,28.15839385986328
20230216,27.523975372314453
20230217,26.948116302490234
20230221,25.435274124145508
20230222,24.859416961669922
20230223,24.996061325073242
20230224,24.53732681274414
20230227,24.303081512451172
20230228,24.332365036010742
20230301,24.7227725982666
20230302,25.571918487548828
20230303,25.76712417602539
20230306,25.366954803466797
20230307,24.91798210144043
20230308,25.35719108581543
20230309,25.80616569519043
20230310,26.56746482849121
20230313,26.303939819335938
20230314,27.338529586791992
20230315,27.728939056396484
20230316,29.45650863647461
20230317,29.095378875732422
20230320,28.460960388183594
20230321,27.777740478515625
20230322,27.455650329589844
20230323,28.334074020385742
20230324,28.656166076660156
20230327,28.480480194091797
20230328,28.587844848632812
20230329,30.76438331604004
20230330,31.320720672607422
20230331,31.88681411743164
20230403,32.10154342651367
20230404,32.3065071105957
20230405,32.04298400878906
20230406,32.02346420288086
20230410,31.74041175842285
20230411,31.57448387145996
20230412,31.252395629882812
20230413,31.359764099121094
20230414,31.12551498413086
20230417,31.36952018737793
20230418,31.066951751708984
20230419,30.40325355529785
20230420,30.120206832885742
20230421,29.573627471923828
20230424,28.948974609375
20230425,28.187671661376953
20230426,28.353593826293945
20230427,29.14417839050293
20230428,30.315410614013672
20230501,29.573627471923828
20230502,29.05633544921875
20230503,29.91524314880371
20230504,30.6159610748291
20230505,30.370952606201172
20230508,30.155349731445312
20230509,29.49873161315918
20230510,29.371328353881836
20230511,28.28350067138672
20230512,28.371702194213867
20230515,29.204721450805664
20230516,28.636308670043945
20230517,28.29330062866211
20230518,29.087121963500977
20230519,29.33212661743164
20230522,29.67513656616211
20230523,28.920516967773438
20230524,28.420705795288086
20230525,26.852664947509766
20230526,28.420705795288086
20230530,29.390926361083984
20230531,30.811962127685547
20230601,30.508153915405273
20230602,30.684560775756836
20230605,29.263525009155273
20230606,30.341552734375
20230607,30.6551570892334
20230608,31.184371948242188
20230609,30.713958740234375
20230612,32.40940856933594
20230613,33.23262023925781
