Date,NVDA
20230103,14.304594993591309
20230104,14.738280296325684
20230105,14.254631042480469
20230106,14.848198890686035
20230109,15.616641998291016
20230110,15.897436141967773
20230111,15.989368438720703
20230112,16.498998641967773
20230113,16.886720657348633
20230117,17.68913459777832
20230118,17.36437225341797
20230119,16.7528133392334
20230120,17.826034545898438
20230123,19.179052352905273
20230124,19.25099754333496
20230125,19.308956146240234
20230126,19.787607192993164
20230127,20.35019874572754
20230130,19.148073196411133
20230131,19.522802352905273
20230201,20.927780151367188
20230202,21.693222045898438
20230203,21.084665298461914
20230206,21.073673248291016
20230207,22.156885147094727
20230208,22.188859939575195
20230209,22.320768356323242
20230210,21.249544143676758
20230213,21.77216148376465
20230214,22.954301834106445
20230215,22.747451782226562
20230216,21.98600959777832
20230217,21.372453689575195
20230221,20.639986038208008
20230222,20.738916397094727
20230223,23.646799087524414
20230224,23.269073486328125
20230227,23.483919143676758
20230228,23.199127197265625
20230301,22.681503295898438
20230302,23.297054290771484
20230303,23.872634887695312
20230306,23.536882400512695
20230307,23.275026321411133
20230308,24.167526245117188
20230309,23.422945022583008
20230310,22.952207565307617
20230313,22.953203201293945
20230314,24.049592971801758
20230315,24.214502334594727
20230316,25.526771545410156
20230317,25.71066665649414
20230320,25.885570526123047
20230321,26.184404373168945
20230322,26.4532527923584
20230323,27.17584991455078
20230324,26.764080047607422
20230327,26.51622200012207
20230328,26.39528465270996
20230329,26.968963623046875
20230330,27.367746353149414
20230331,27.761526107788086
20230403,27.949419021606445
20230404,27.437705993652344
20230405,26.866024017333984
20230406,27.02193832397461
20230410,27.563636779785156
20230411,27.15386390686035
20230412,26.48023796081543
20230413,26.44825553894043
20230414,26.74309539794922
20230417,26.986957550048828
20230418,27.651588439941406
20230419,27.91543960571289
20230420,27.088899612426758
20230421,27.10388946533203
20230424,27.026935577392578
20230425,26.226383209228516
20230426,26.940982818603516
20230427,27.210832595825195
20230428,27.73354148864746
20230501,28.893892288208008
20230502,28.19428062438965
20230503,27.78651237487793
20230504,27.546646118164062
20230505,28.664020538330078
20230508,29.134756088256836
20230509,28.555078506469727
20230510,28.868907928466797
20230511,28.56207847595215
20230512,28.3242130279541
20230515,28.936872482299805
20230516,29.196725845336914
20230517,30.16118621826172
20230518,31.660350799560547
20230519,31.24658203125
20230522,31.158632278442383
20230523,30.670902252197266
20230524,30.520986557006836
20230525,37.958839416503906
20230526,38.92430114746094
20230530,40.08865737915039
20230531,37.812923431396484
20230601,39.747840881347656
20230602,39.30508804321289
20230605,39.14917755126953
20230606,38.632469177246094
20230607,37.45799255371094
20230608,38.492530822753906
20230609,38.752410888671875
20230612,39.46408462524414
20230613,41.003387451171875
20230614,42.97749328613281
20230615,42.63365173339844
20230616,42.672630310058594
20230620,43.78812026977539
20230621,43.02547073364258
20230622,43.0054817199707
20230623,42.189849853515625
20230626,40.613563537597656
20230627,41.856998443603516
20230628,41.09834289550781
20230629,40.8034782409668
20230630,42.282806396484375
20230703,42.39375305175781
20230705,42.29780197143555
20230706,42.083900451660156
20230707,42.48371124267578
20230710,42.16086196899414
20230711,42.38576126098633
20230712,43.882080078125
20230713,45.956138610839844
20230714,45.44837188720703
20230717,46.43992233276367
20230718,47.472450256347656
20230719,47.05564498901367
20230720,45.49934768676758
20230721,44.28889465332031
20230724,44.59176254272461
20230725,45.65827560424805
20230726,45.43137741088867
20230727,45.87917709350586
20230728,46.72879409790039
20230731,46.70779800415039
20230801,46.48590087890625
20230802,44.24892044067383
20230803,44.49480438232422
20230804,44.659725189208984
20230807,45.396392822265625
20230808,44.643741607666016
20230809,42.53469467163086
20230810,42.368770599365234
20230811,40.83646011352539
20230814,43.73314666748047
20230815,43.92006301879883
20230816,43.466270446777344
20230817,43.32433319091797
20230818,43.279354095458984
20230821,46.9456901550293
20230822,45.64727783203125
20230823,47.094627380371094
20230824,47.1416015625
20230825,45.99711990356445
20230828,46.813751220703125
20230829,48.76186752319336
20230830,49.24164962768555
20230831,49.33260726928711
20230901,48.48699188232422
20230905,48.52597427368164
20230906,47.043521881103516
20230907,46.22382736206055
20230908,45.555076599121094
20230911,45.16122055053711
20230912,44.853336334228516
20230913,45.46811294555664
20230914,45.5640754699707
20230915,43.883697509765625
20230918,43.949668884277344
20230919,43.50383758544922
20230920,42.22331619262695
20230921,41.00177001953125
20230922,41.594547271728516
20230925,42.20632553100586
20230926,41.89543533325195
20230927,42.45222854614258
20230928,43.072998046875
20230929,43.482852935791016
20231002,44.7653694152832
20231003,43.50083541870117
20231004,44.0246467590332
20231005,44.67140197753906
20231006,45.7450065612793
20231009,45.256187438964844
20231010,45.7809944152832
20231011,46.78861618041992
20231012,46.92756652832031
20231013,45.444114685058594
20231016,46.07788848876953
20231017,43.92168426513672
20231018,42.18033218383789
20231019,42.08536911010742
20231020,41.37163162231445
20231023,42.95904541015625
20231024,43.646785736083984
20231025,41.763484954833984
20231026,40.31102752685547
20231027,40.484962463378906
20231030,41.145713806152344
20231031,40.76485824584961
20231101,42.309288024902344
20231102,43.48984146118164
20231103,44.98828887939453
20231106,45.7340087890625
20231107,45.93793869018555
20231108,46.556705474853516
20231109,46.93256759643555
20231110,48.317047119140625
20231113,48.60194396972656
20231114,49.63755798339844
20231115,48.86984634399414
20231116,49.461631774902344
20231117,49.27969741821289
20231120,50.390281677246094
20231121,49.925453186035156
20231122,48.697906494140625
20231124,47.75825881958008
20231127,48.22408676147461
20231128,47.80323791503906
20231129,48.122127532958984
20231130,46.75263214111328
20231201,46.74763488769531
20231204,45.49309539794922
20231205,46.552799224853516
20231206,45.49009704589844
20231207,46.582794189453125
20231208,47.49253463745117
20231211,46.61378479003906
20231212,47.64349365234375
20231213,48.07437515258789
20231214,48.3362922668457
20231215,48.87614059448242
20231218,50.06280517578125
20231219,49.58993911743164
20231220,48.09735870361328
20231221,48.97611618041992
20231222,48.816162109375
20231226,49.26502990722656
20231227,49.402992248535156
20231228,49.507965087890625
20231229,49.507965087890625
20240102,48.15434646606445
20240103,47.555519104003906
20240104,47.984397888183594
20240105,49.08308029174805
20240108,52.23818588256836
20240109,53.12493896484375
20240110,54.334598541259766
20240111,54.806461334228516
20240112,54.694488525390625
20240116,56.36602020263672
20240117,56.037113189697266
20240118,57.09081268310547
20240119,59.47413635253906
20240122,59.63709259033203
20240123,59.85603332519531
20240124,61.3446044921875
